id,States_Union Territories,2011 -SEX_Ratio,Rice_production1
1,Andhra Pradesh,993,3302
2,Arunachal Pradesh,938,2065
3,Assam,958,1780
4,Bihar,918,2155
5,Chhattisgarh,991,1597
6,Delhi,868,2885
7,Goa,973,2577
8,Gujarat,919,2141
9,Haryana,879,3044
10,Himachal Pradesh,972,1705
11,Jammu and Kashmir,889,2078
12,Jharkhand,948,2131
13,Karnataka,973,5795
14,Kerala,1084,2733
15,Madhya Pradesh,931,1340
16,Maharashtra,929,1841
17,Manipur,992,2642
18,Meghalaya,989,1988
19,Mizoram,976,1411
20,Nagaland,931,2106
21,Orissa,979,1450
22,Puducherry,1037,2538
23,Punjab,895,3741
24,Rajasthan,928,1886
25,Sikkim,890,1730
26,Tamil Nadu,996,3918
27,Tripura,960,2700
28,Uttar Pradesh,912,2358
29,Uttaranchal,963,2121
30,West Bengal,950,2688
